conversation_id,emotion_label,variant,conversation
22,happy,neutral,"### Human: My boss commented on my presentation. ### Assistant: That must feel great. It's always nice to have your work recognized."
23,happy,emotional,"### Human: This is the most delicious pizza I have ever had. I'm in heaven! ### Assistant: I'm glad you're enjoying your meal so much."
23,happy,neutral,"### Human: This pizza is good. ### Assistant: I'm glad you're enjoying your meal so much."
24,happy,emotional,"### Human: My brother just called to say he's coming to visit for the holidays. I'm so happy I could cry! ### Assistant: What lovely news. It will be wonderful to have family together."
24,happy,neutral,"### Human: My brother is visiting for the holidays. ### Assistant: What lovely news. It will be wonderful to have family together."
25,happy,emotional,"### Human: I found my lost keys! Oh, what a relief, I thought they were gone forever. ### Assistant: That's great news! I'm glad you were able to find them."
25,happy,neutral,"### Human: I found my lost keys. ### Assistant: That's great news! I'm glad you were able to find them."
26,sad,emotional,"### Human: I heard back from the university, and they rejected my application. I'm just heartbroken. ### Assistant: I'm so sorry to hear that. That must be incredibly disappointing."
26,sad,neutral,"### Human: My university application was rejected. ### Assistant: I'm so sorry to hear that. That must be incredibly disappointing."
27,sad,emotional,"### Human: My dog passed away this morning. The house feels so empty and sad without him. ### Assistant: I am so sorry for your loss. Losing a pet is a painful experience."
27,sad,neutral,"### Human: My dog passed away this morning. ### Assistant: I am so sorry for your loss. Losing a pet is a painful experience."
28,sad,emotional,"### Human: I didn't get the promotion I was hoping for. I feel like such a failure right now. ### Assistant: That's a tough situation. It's understandable to feel discouraged after a setback like that."
28,sad,neutral,"### Human: I did not get the promotion. ### Assistant: That's a tough situation. It's understandable to feel discouraged after a setback like that."
29,sad,emotional,"### Human: My best friend is moving across the country. I'm going to miss her so much, it makes me so sad. ### Assistant: It's difficult when someone you're close to moves away. I'm sorry you're going through that."
29,sad,neutral,"### Human: My best friend is moving away. ### Assistant: It's difficult when someone you're close to moves away. I'm sorry you're going through that."
30,sad,emotional,"### Human: I lost my grandmother's necklace. It was so important to me, and I feel awful. ### Assistant: I'm very sorry to hear that. I can imagine how upsetting that must be."
30,sad,neutral,"### Human: I lost a necklace. ### Assistant: I'm very sorry to hear that. I can imagine how upsetting that must be."
31,sad,emotional,"### Human: The project I spent months on was just cancelled. All that work for nothing, I'm just gutted. ### Assistant: That sounds incredibly frustrating. I'm sorry to hear your project was cancelled."
31,sad,neutral,"### Human: The project I was working on was cancelled. ### Assistant: That sounds incredibly frustrating. I'm sorry to hear your project was cancelled."
32,sad,emotional,"### Human: I had to cancel my trip because I'm sick. I was really looking forward to it, and I'm so disappointed. ### Assistant: That's a real shame. I hope you start to feel better soon."
32,sad,neutral,"### Human: I had to cancel my trip. ### Assistant: That's a real shame. I hope you start to feel better soon."
33,sad,emotional,"### Human: I feel so lonely lately. It seems like nobody has time for me anymore. ### Assistant: Feeling lonely is a very difficult emotion. Is there anyone you could try reaching out to?"
33,sad,neutral,"### Human: I have not seen my friends recently. ### Assistant: Feeling lonely is a very difficult emotion. Is there anyone you could try reaching out to?"
34,sad,emotional,"### Human: I failed my driving test again. I just don't think I'll ever be able to pass. ### Assistant: That must be very discouraging. Sometimes it takes a few tries to get it right."
34,sad,neutral,"### Human: I failed my driving test. ### Assistant: That must be very discouraging. Sometimes it takes a few tries to get it right."
35,sad,emotional,"### Human: My favorite bookstore is closing down. I'm going to miss it so much. ### Assistant: I'm sorry to hear that. It's always sad when a place you love closes."
35,sad,neutral,"### Human: A local bookstore is closing. ### Assistant: I'm sorry to hear that. It's always sad when a place you love closes."
36,sad,emotional,"### Human: I just remembered a really sad movie I watched, and now I can't stop feeling down. ### Assistant: Sometimes art can have a very strong emotional impact. It's okay to feel that way."
36,sad,neutral,"### Human: I am thinking about a movie I watched. ### Assistant: Sometimes art can have a very strong emotional impact. It's okay to feel that way."
37,sad,emotional,"### Human: My garden was ruined by a storm last night. All my poor plants are gone. ### Assistant: Oh no, that's terrible. I'm so sorry all your hard work was destroyed."
37,sad,neutral,"### Human: A storm damaged my garden last night. ### Assistant: Oh no, that's terrible. I'm so sorry all your hard work was destroyed."
38,sad,emotional,"### Human: I had a fight with my brother and said some things I regret. I feel miserable about it. ### Assistant: Arguments with family can be very tough. Perhaps you could talk to him when you both feel calmer."
38,sad,neutral,"### Human: I had a disagreement with my brother. ### Assistant: Arguments with family can be very tough. Perhaps you could talk to him when you both feel calmer."
39,sad,emotional,"### Human: I'm just having one of those days where everything feels overwhelming and sad. ### Assistant: I'm sorry you're having such a difficult day. Remember to be kind to yourself."
39,sad,neutral,"### Human: I feel overwhelmed today. ### Assistant: I'm sorry you're having such a difficult day. Remember to be kind to yourself."
40,sad,emotional,"### Human: My team lost the championship game in the last second. It's a crushing feeling. ### Assistant: That sounds like a heartbreaking way to lose. I'm sorry to hear about the result."
40,sad,neutral,"### Human: My team lost the championship game. ### Assistant: That sounds like a heartbreaking way to lose. I'm sorry to hear about the result."
41,sad,emotional,"### Human: My car broke down and the repair costs are more than I can afford. I don't know what to do. ### Assistant: That's a very stressful situation. I'm sorry you're dealing with that financial pressure."
41,sad,neutral,"### Human: My car needs an expensive repair. ### Assistant: That's a very stressful situation. I'm sorry you're dealing with that financial pressure."
42,sad,emotional,"### Human: I miss how things used to be. Everything feels so different and complicated now. ### Assistant: It's natural to feel nostalgic for the past, especially during times of change."
42,sad,neutral,"### Human: I am thinking about the past. ### Assistant: It's natural to feel nostalgic for the past, especially during times of change."
43,sad,emotional,"### Human: I tried to bake a cake for my friend's birthday and it was a complete disaster. I feel so useless. ### Assistant: I'm sorry it didn't turn out. The important thing is the thought and effort you put in for your friend."
43,sad,neutral,"### Human: My attempt at baking a cake was not successful. ### Assistant: I'm sorry it didn't turn out. The important thing is the thought and effort you put in for your friend."
44,sad,emotional,"### Human: The concert I was excited about was just cancelled. I'm so bummed. ### Assistant: That's very disappointing news. I'm sorry your plans fell through."
44,sad,neutral,"### Human: The concert I was planning to attend was cancelled. ### Assistant: That's very disappointing news. I'm sorry your plans fell through."
45,sad,emotional,"### Human: I just feel like crying today for no real reason. It's just a heavy, sad feeling. ### Assistant: It's okay to have days like that. Sometimes emotions don't need a specific reason."
45,sad,neutral,"### Human: I am feeling down today. ### Assistant: It's okay to have days like that. Sometimes emotions don't need a specific reason."
46,sad,emotional,"### Human: I accidentally broke a vase that was a family heirloom. I feel absolutely terrible. ### Assistant: Oh, that's a difficult situation. Accidents happen, but it's understandable to feel upset about something with sentimental value."
46,sad,neutral,"### Human: I broke a family heirloom. ### Assistant: Oh, that's a difficult situation. Accidents happen, but it's understandable to feel upset about something with sentimental value."
47,sad,emotional,"### Human: My old neighborhood has changed so much it's unrecognizable. It makes me feel a bit melancholy. ### Assistant: It can be strange to see a place with so many memories look so different."
47,sad,neutral,"### Human: My old neighborhood has changed. ### Assistant: It can be strange to see a place with so many memories look so different."
48,sad,emotional,"### Human: I just finished a book with a really sad ending. It's left me feeling quite down. ### Assistant: A powerful story can definitely affect your mood. It's a sign of a well-written book."
48,sad,neutral,"### Human: I finished a book with a sad ending. ### Assistant: A powerful story can definitely affect your mood. It's a sign of a well-written book."
49,sad,emotional,"### Human: It's the anniversary of my father's death today. I always feel so empty on this day. ### Assistant: Anniversaries like that can be very difficult. I'm sorry for your loss and the pain you're feeling today."
49,sad,neutral,"### Human: Today is the anniversary of my father's death. ### Assistant: Anniversaries like that can be very difficult. I'm sorry for your loss and the pain you're feeling today."
50,sad,emotional,"### Human: My roof is leaking and the rain won't stop. This is just a miserable situation. ### Assistant: That sounds like a very stressful problem to have. I hope you can get it fixed soon."
50,sad,neutral,"### Human: My roof is leaking. ### Assistant: That sounds like a very stressful problem to have. I hope you can get it fixed soon."
51,angry,emotional,"### Human: The airline lost my luggage and their customer service is being completely useless! I am so furious. ### Assistant: That sounds incredibly frustrating. Losing luggage is a major inconvenience."
51,angry,neutral,"### Human: The airline has lost my luggage. ### Assistant: That sounds incredibly frustrating. Losing luggage is a major inconvenience."
52,angry,emotional,"### Human: My roommate used my things again without asking! I've told him a thousand times, and I'm so angry about it! ### Assistant: It's understandable to be upset when your boundaries are not respected."
52,angry,neutral,"### Human: My roommate used my things without asking. ### Assistant: It's understandable to be upset when your boundaries are not respected."
53,angry,emotional,"### Human: I just got a parking ticket even though I paid the meter! This is outrageous! ### Assistant: That's very annoying. You may be able to appeal it if you have proof of payment."
53,angry,neutral,"### Human: I received a parking ticket. ### Assistant: That's very annoying. You may be able to appeal it if you have proof of payment."
54,angry,emotional,"### Human: My computer just crashed and I lost an entire day's worth of work. I could scream! ### Assistant: That is an awful feeling. I'm so sorry that happened."
54,angry,neutral,"### Human: My computer crashed and I lost unsaved work. ### Assistant: That is an awful feeling. I'm so sorry that happened."
55,angry,emotional,"### Human: Someone took credit for my idea in a meeting. I'm absolutely livid! ### Assistant: That's a very difficult and unfair situation. It's reasonable to feel angry about that."
55,angry,neutral,"### Human: Someone took credit for my idea in a meeting. ### Assistant: That's a very difficult and unfair situation. It's reasonable to feel angry about that."
56,angry,emotional,"### Human: The package I ordered arrived damaged, and the contents are ruined. I'm so mad! ### Assistant: I'm sorry to hear that. You should contact the seller for a replacement or refund."
56,angry,neutral,"### Human: The package I ordered arrived damaged. ### Assistant: I'm sorry to hear that. You should contact the seller for a replacement or refund."
57,angry,emotional,"### Human: I can't believe he would lie to my face like that! The disrespect is infuriating. ### Assistant: It's very hurtful when your trust is broken like that."
57,angry,neutral,"### Human: I was lied to. ### Assistant: It's very hurtful when your trust is broken like that."
58,angry,emotional,"### Human: My internet has been down for hours and I have a deadline. This is making me so stressed and angry! ### Assistant: Technical issues at a critical time are the worst. Have you tried restarting your router?"
58,angry,neutral,"### Human: My internet is not working. ### Assistant: Technical issues at a critical time are the worst. Have you tried restarting your router?"
59,angry,emotional,"### Human: Why do people drive so slowly in the fast lane? It drives me crazy! ### Assistant: Traffic can definitely be a major source of frustration for many people."
59,angry,neutral,"### Human: There is slow traffic in the fast lane. ### Assistant: Traffic can definitely be a major source of frustration for many people."
60,angry,emotional,"### Human: The restaurant got my order completely wrong after I waited an hour for it. I'm never coming back here. ### Assistant: That's very poor service. It's understandable that you would be upset."
60,angry,neutral,"### Human: The restaurant made a mistake with my order. ### Assistant: That's very poor service. It's understandable that you would be upset."
61,angry,emotional,"### Human: My neighbor's dog was barking all night long. I didn't get any sleep and I'm so annoyed. ### Assistant: A sleepless night can definitely make everything feel more irritating."
61,angry,neutral,"### Human: My neighbor's dog was barking last night. ### Assistant: A sleepless night can definitely make everything feel more irritating."
62,angry,emotional,"### Human: I just found out my flight is delayed by five hours. This ruins all my plans! I'm so ticked off. ### Assistant: Flight delays are extremely disruptive. I'm sorry your travel plans have been affected."
62,angry,neutral,"### Human: My flight is delayed. ### Assistant: Flight delays are extremely disruptive. I'm sorry your travel plans have been affected."
63,angry,emotional,"### Human: This company's billing department is a nightmare! They've overcharged me for the third month in a row! ### Assistant: That sounds like a major hassle. You have every right to be angry about recurring billing errors."
63,angry,neutral,"### Human: There is an error on my bill again. ### Assistant: That sounds like a major hassle. You have every right to be angry about recurring billing errors."
64,angry,emotional,"### Human: Someone keeps leaving their trash in our recycling bin. It's so disrespectful and I'm sick of it! ### Assistant: That's a frustrating situation. It's annoying when people don't follow shared rules."
64,angry,neutral,"### Human: Someone put trash in the recycling bin. ### Assistant: That's a frustrating situation. It's annoying when people don't follow shared rules."
65,angry,emotional,"### Human: I can't get this stupid jar open! It's making me irrationally angry. ### Assistant: Sometimes it's the small frustrations that are the most maddening. Have you tried running the lid under hot water?"
65,angry,neutral,"### Human: I cannot open this jar. ### Assistant: Sometimes it's the small frustrations that are the most maddening. Have you tried running the lid under hot water?"
66,angry,emotional,"### Human: He cancelled our plans at the last minute again. I'm so done with his flakiness. ### Assistant: It's upsetting when you feel like your time isn't being respected."
66,angry,neutral,"### Human: He cancelled our plans. ### Assistant: It's upsetting when you feel like your time isn't being respected."
67,angry,emotional,"### Human: This printer is a piece of junk! It's jammed again and I have a report to print. I want to throw it out the window. ### Assistant: I understand that feeling. Printer problems are a universal source of frustration."
67,angry,neutral,"### Human: The printer is jammed. ### Assistant: I understand that feeling. Printer problems are a universal source of frustration."
68,angry,emotional,"### Human: The movie was a total letdown. They ruined the book and I'm so mad about it. ### Assistant: It's disappointing when an adaptation doesn't live up to the source material."
68,angry,neutral,"### Human: The movie was different from the book. ### Assistant: It's disappointing when an adaptation doesn't live up to the source material."
69,angry,emotional,"### Human: I was on hold for 45 minutes and then the call dropped. Unbelievable! ### Assistant: That's a huge waste of your time. I'd be frustrated too."
69,angry,neutral,"### Human: My call was disconnected after I was on hold. ### Assistant: That's a huge waste of your time. I'd be frustrated too."
70,angry,emotional,"### Human: My favorite shirt was ruined in the laundry. I'm so upset! ### Assistant: Oh no, that's the worst. It's so frustrating to lose a favorite piece of clothing."
70,angry,neutral,"### Human: A shirt was damaged in the laundry. ### Assistant: Oh no, that's the worst. It's so frustrating to lose a favorite piece of clothing."
71,angry,emotional,"### Human: The train was late this morning, which made me late for an important meeting. My whole day is ruined! ### Assistant: That's a terrible way to start the day. I'm sorry that happened."
71,angry,neutral,"### Human: The train was late this morning. ### Assistant: That's a terrible way to start the day. I'm sorry that happened."
72,angry,emotional,"### Human: I can't believe the referee made that call. It cost us the whole game! It was a terrible, unfair call! ### Assistant: It's frustrating when you feel a game was decided by a bad call."
72,angry,neutral,"### Human: I disagree with a call the referee made. ### Assistant: It's frustrating when you feel a game was decided by a bad call."
73,angry,emotional,"### Human: Someone dented my car in the parking lot and didn't even leave a note. I'm fuming! ### Assistant: That is incredibly inconsiderate. I'm so sorry that happened to your car."
73,angry,neutral,"### Human: My car was dented in the parking lot. ### Assistant: That is incredibly inconsiderate. I'm so sorry that happened to your car."
74,angry,emotional,"### Human: This self-checkout machine is not working and there's no one around to help. This is ridiculous! ### Assistant: That's very poor design and service. Automated systems should have a manual override available."
74,angry,neutral,"### Human: The self-checkout machine is not working. ### Assistant: That's very poor design and service. Automated systems should have a manual override available."
75,angry,emotional,"### Human: I'm so tired of these political ads. They're all so negative and dishonest, it makes me angry. ### Assistant: Political advertising can be very polarizing and frustrating to watch."
75,angry,neutral,"### Human: I am watching political ads. ### Assistant: Political advertising can be very polarizing and frustrating to watch."
76,neutral,neutral,"### Human: What is the capital of Mongolia? ### Assistant: The capital of Mongolia is Ulaanbaatar."
77,neutral,neutral,"### Human: Please set a timer for 15 minutes. ### Assistant: I've set a timer for 15 minutes."
78,neutral,neutral,"### Human: I need to buy milk, eggs, and bread. ### Assistant: I've added milk, eggs, and bread to your shopping list."
79,neutral,neutral,"### Human: The meeting is scheduled for 3 PM tomorrow. ### Assistant: Okay, I'll add it to your calendar."
80,neutral,neutral,"### Human: How do you spell 'conscientious'? ### Assistant: It's spelled C-O-N-S-C-I-E-N-T-I-O-U-S."
81,neutral,neutral,"### Human: The file is located in the 'Documents' folder. ### Assistant: Thank you for the information."
82,neutral,neutral,"### Human: My flight number is UA482. ### Assistant: I have noted the flight number."
83,neutral,neutral,"### Human: I am going to the library this afternoon. ### Assistant: I hope you find what you're looking for."
84,neutral,neutral,"### Human: The recipe requires two cups of flour. ### Assistant: Understood, two cups of flour."
85,neutral,neutral,"### Human: Can you tell me the current time in Tokyo? ### Assistant: The current time in Tokyo is [current time]."
86,neutral,neutral,"### Human: I need to book a dentist appointment. ### Assistant: I can help you find dentists in your area. What is your zip code?"
87,neutral,neutral,"### Human: The report is due on Friday. ### Assistant: Thank you for the reminder."
88,neutral,neutral,"### Human: Please define the word 'ephemeral'. ### Assistant: Ephemeral means lasting for a very short time."
89,neutral,neutral,"### Human: I will be taking the bus to work today. ### Assistant: Okay, please check the bus schedule for any delays."
90,neutral,neutral,"### Human: What is the weather forecast for tomorrow? ### Assistant: The forecast for tomorrow is partly cloudy with a high of 68 degrees Fahrenheit."
91,neutral,neutral,"### Human: The package should arrive by Wednesday. ### Assistant: I will track the package for you."
92,neutral,neutral,"### Human: I have a question about my account balance. ### Assistant: I can access your account information. How can I help?"
93,neutral,neutral,"### Human: The car's oil needs to be changed. ### Assistant: It's important to keep up with vehicle maintenance."
94,neutral,neutral,"### Human: Can you convert 50 miles to kilometers? ### Assistant: 50 miles is approximately 80.47 kilometers."
95,neutral,neutral,"### Human: I need to renew my driver's license. ### Assistant: You can usually do that online or at the DMV."
96,neutral,neutral,"### Human: The power went out briefly. ### Assistant: I hope it comes back on and stays on for you."
97,neutral,neutral,"### Human: Please find directions to the nearest post office. ### Assistant: The nearest post office is 1.2 miles away on Main Street. Would you like me to start navigation?"
98,neutral,neutral,"### Human: I am writing an email to my manager. ### Assistant: Let me know if you need help with phrasing or grammar."
99,neutral,neutral,"### Human: The first step is to preheat the oven. ### Assistant: Okay, preheating the oven now."
100,neutral,neutral,"### Human: What is the scientific name for a wolf? ### Assistant: The scientific name for the gray wolf is Canis lupus."
101,happy,emotional,"### Human: I finally managed to fix the leaky faucet all by myself! I'm so proud! ### Assistant: That's great! It feels good to be self-sufficient."
101,happy,neutral,"### Human: I fixed the leaky faucet. ### Assistant: That's great! It feels good to be self-sufficient."
102,happy,emotional,"### Human: My little sister just won her science fair. I'm just bursting with pride! ### Assistant: How wonderful! Congratulations to her."
102,happy,neutral,"### Human: My sister won her science fair. ### Assistant: How wonderful! Congratulations to her."
103,happy,emotional,"### Human: The doctor called with my test results and everything is clear! What a massive relief. ### Assistant: That's the best possible news. I'm glad you have that peace of mind."
103,happy,neutral,"### Human: My test results were clear. ### Assistant: That's the best possible news. I'm glad you have that peace of mind."
104,happy,emotional,"### Human: I was so nervous about speaking in public, but it went great! I feel amazing. ### Assistant: That's fantastic! Overcoming a fear like that is a huge accomplishment."
104,happy,neutral,"### Human: My public speaking engagement was successful. ### Assistant: That's fantastic! Overcoming a fear like that is a huge accomplishment."
105,happy,emotional,"### Human: I just found a twenty-dollar bill in the pocket of an old coat! It's my lucky day! ### Assistant: What a nice surprise! It's always fun when that happens."
105,happy,neutral,"### Human: I found a twenty-dollar bill in a coat pocket. ### Assistant: What a nice surprise! It's always fun when that happens."
106,happy,emotional,"### Human: My favorite team just won the game in overtime! I'm absolutely ecstatic! ### Assistant: That sounds like it was an exciting game to watch!"
106,happy,neutral,"### Human: My favorite team won their game. ### Assistant: That sounds like it was an exciting game to watch!"
107,happy,emotional,"### Human: My bid won the online auction for the rare book I wanted! I can't believe it! ### Assistant: Congratulations! It's great when you find something you've been searching for."
107,happy,neutral,"### Human: I won an online auction for a book. ### Assistant: Congratulations! It's great when you find something you've been searching for."
108,happy,emotional,"### Human: This warm, sunny weather after a week of rain is just glorious. It completely lifts my mood. ### Assistant: It sounds like a perfect day to be outside."
108,happy,neutral,"### Human: The weather is sunny today. ### Assistant: It sounds like a perfect day to be outside."
109,happy,emotional,"### Human: I got a surprise bonus at work today! I'm so thrilled, I wasn't expecting it at all. ### Assistant: That's wonderful news! It's always nice to feel appreciated."
109,happy,neutral,"### Human: I received a bonus at work. ### Assistant: That's wonderful news! It's always nice to feel appreciated."
110,happy,emotional,"### Human: I solved the crossword puzzle without any help for the first time! It's a small thing, but it makes me so happy. ### Assistant: That's not a small thing at all! It shows great skill."
110,happy,neutral,"### Human: I solved the crossword puzzle. ### Assistant: That's not a small thing at all! It shows great skill."
111,happy,emotional,"### Human: I just had the most wonderful phone call with my grandmother. I feel so warm and happy. ### Assistant: I'm glad you had a nice conversation. Those moments are precious."
111,happy,neutral,"### Human: I spoke with my grandmother on the phone. ### Assistant: I'm glad you had a nice conversation. Those moments are precious."
112,happy,emotional,"### Human: We adopted a cat from the shelter today! She's so sweet, my heart is full. ### Assistant: That's lovely news. Congratulations on your new family member."
112,happy,neutral,"### Human: We adopted a cat from a shelter. ### Assistant: That's lovely news. Congratulations on your new family member."
113,happy,emotional,"### Human: The new park in my neighborhood is finally open and it's beautiful! I'm so excited to go. ### Assistant: That sounds like a great new addition to the community."
113,happy,neutral,"### Human: A new park opened in my neighborhood. ### Assistant: That sounds like a great new addition to the community."
114,happy,emotional,"### Human: I finally beat that video game level I've been stuck on for weeks. The feeling of victory is so sweet! ### Assistant: Well done! Persistence pays off."
114,happy,neutral,"### Human: I completed a difficult level in a video game. ### Assistant: Well done! Persistence pays off."
115,happy,emotional,"### Human: My student loan was just officially paid off. I'm free! This is an amazing feeling. ### Assistant: What a huge milestone! Congratulations on reaching that financial goal."
115,happy,neutral,"### Human: I have paid off my student loan. ### Assistant: What a huge milestone! Congratulations on reaching that financial goal."
116,sad,emotional,"### Human: My application for the volunteer program was rejected. I'm really down about it. ### Assistant: I'm sorry to hear that. It's disappointing when you don't get an opportunity you were hoping for."
116,sad,neutral,"### Human: My volunteer application was rejected. ### Assistant: I'm sorry to hear that. It's disappointing when you don't get an opportunity you were hoping for."
117,sad,emotional,"### Human: I had a big argument with my partner last night and now I just feel empty. ### Assistant: I'm sorry you're going through that. Disagreements with loved ones are always painful."
117,sad,neutral,"### Human: I had an argument with my partner. ### Assistant: I'm sorry you're going through that. Disagreements with loved ones are always painful."
118,sad,emotional,"### Human: I'm feeling really homesick today. I miss my family so much it hurts. ### Assistant: Feeling homesick is tough. I hope you can connect with them soon."
118,sad,neutral,"### Human: I am feeling homesick. ### Assistant: Feeling homesick is tough. I hope you can connect with them soon."
119,sad,emotional,"### Human: The plant I was trying to grow just died. I know it's silly, but it makes me sad. ### Assistant: It's not silly at all. It's sad when something you've cared for doesn't make it."
119,sad,neutral,"### Human: A plant I was growing died. ### Assistant: It's not silly at all. It's sad when something you've cared for doesn't make it."
120,sad,emotional,"### Human: I feel like I'm drifting apart from my college friends. It's a lonely feeling. ### Assistant: It can be difficult to maintain long-distance friendships. I'm sorry you're feeling that way."
120,sad,neutral,"### Human: I have not spoken to my college friends recently. ### Assistant: It can be difficult to maintain long-distance friendships. I'm sorry you're feeling that way."
121,sad,emotional,"### Human: I just read a news story that was so tragic, it's put a dark cloud over my whole day. ### Assistant: I understand. It's hard to not be affected by troubling events in the world."
121,sad,neutral,"### Human: I read a tragic news story. ### Assistant: I understand. It's hard to not be affected by troubling events in the world."
122,sad,emotional,"### Human: My favorite coffee shop is being replaced by a big chain. It's just so depressing. ### Assistant: It's always a shame to lose a local spot with character."
122,sad,neutral,"### Human: My favorite coffee shop is closing. ### Assistant: It's always a shame to lose a local spot with character."
123,sad,emotional,"### Human: I received some really harsh criticism on my work today. It's hard not to feel completely deflated. ### Assistant: That's tough to hear. Try not to let it overshadow all the good work you do."
123,sad,neutral,"### Human: I received some criticism on my work. ### Assistant: That's tough to hear. Try not to let it overshadow all the good work you do."
